"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Exhume.doc"	".doc"	"r"	"yes"	"2008-02-13 06:23:11 IST"	"2008-02-13 06:23:11 IST"	"2008-02-13 05:38:20 IST"	"40960"	"1716"	"522663c17a24c0593e9e232a9b0aa616"	"unknown"	"rrwxrwxrwx"	"/img_Mantooth.E01/vol_vol2/$OrphanFiles/Afrit/Exhume.doc"
".."	"."	"-"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"55"	"null"	"unknown"	"----------"	"/img_Mantooth.E01/vol_vol2/$OrphanFiles/Book of Nod/.."
"Astral.doc"	".doc"	"r"	"yes"	"2008-02-13 06:23:11 IST"	"2008-02-13 06:23:11 IST"	"2008-02-13 05:39:04 IST"	"38912"	"1717"	"7ced69c87d3bcffa2554fdf701f5d6a4"	"unknown"	"rrwxrwxrwx"	"/img_Mantooth.E01/vol_vol2/$OrphanFiles/Book of Nod/Astral.doc"
"Vampire Terminology.doc"	".doc"	"r"	"yes"	"2008-02-13 06:23:11 IST"	"2008-02-13 06:23:11 IST"	"2008-02-13 05:43:16 IST"	"78336"	"1714"	"26786250e86868a24f5b1ea50ee8f284"	"unknown"	"rrwxrwxrwx"	"/img_Mantooth.E01/vol_vol2/$OrphanFiles/Vampire Terminology.doc"
"Vampire.doc"	".doc"	"r"	"yes"	"2008-02-13 06:23:11 IST"	"2008-02-13 06:23:11 IST"	"2008-02-13 05:36:54 IST"	"73728"	"1715"	"11ce7133f808589df6e4183755c9432b"	"unknown"	"rrwxrwxrwx"	"/img_Mantooth.E01/vol_vol2/$OrphanFiles/Vampire.doc"
"pagefile.sys"	".sys"	"r"	""	"2008-02-13 04:27:49 IST"	"2007-07-27 01:59:04 IST"	"2007-07-25 22:42:42 IST"	"2097152"	"1579"	"de6a6b6319c5f8edf4e91bc2065faf03"	"unknown"	"rrwxrwxrwx"	"/img_Mantooth.E01/vol_vol2/pagefile.sys"
"Unalloc_4236_3267072_106657792"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"7581696"	"0"	"null"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol2/$Unalloc/Unalloc_4236_3267072_106657792"
"Unalloc_4238_115463168_123378688"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"6748160"	"0"	"null"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol3/$Unalloc/Unalloc_4238_115463168_123378688"
"Unalloc_3_0_32256"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"32256"	"0"	"null"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol1/Unalloc_3_0_32256"
"Unalloc_4235_123379200_128450048"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"5070848"	"0"	"null"	"unknown"	"r---------"	"/img_Mantooth.E01/vol_vol4/Unalloc_4235_123379200_128450048"
